filename,#state
log-abs-t2-c-i-gcd2.log,205201
log-abs-t2-c-n-gcd1.log,145593
log-abs-t2-c-p-gcd1.log,13484
log-abs-t2-c-p-gcd2.log,58465
log-abs-t2-s-a-gcd1.log,11751
log-abs-t2-s-a-gcd2.log,81129
log-abs-t2-s-i-gcd1.log,12143
log-abs-t2-s-i-gcd2.log,64659
log-abs-t2-s-n-gcd1.log,23857
log-abs-t2-s-n-gcd2.log,151857
log-abs-t2-s-p-gcd1.log,6067
log-abs-t2-s-p-gcd2.log,34729
log-abs-t3-c-a-gcd1.log,22410
log-abs-t3-c-a-gcd2.log,104103
log-abs-t3-c-i-gcd1.log,6918
log-abs-t3-c-i-gcd2.log,42983
log-abs-t3-c-i-gcd3.log,269674
log-abs-t3-c-n-gcd1.log,29132
log-abs-t3-c-n-gcd2.log,243603
log-abs-t3-c-p-gcd1.log,4309
log-abs-t3-c-p-gcd2.log,18020
log-abs-t3-c-p-gcd3.log,98846
log-abs-t3-s-a-gcd1.log,2921
log-abs-t3-s-a-gcd2.log,18909
log-abs-t3-s-a-gcd3.log,216558
log-abs-t3-s-i-gcd1.log,2587
log-abs-t3-s-i-gcd2.log,13037
log-abs-t3-s-i-gcd3.log,155005
log-abs-t3-s-n-gcd1.log,4999
log-abs-t3-s-n-gcd2.log,29689
log-abs-t3-s-n-gcd3.log,323470
log-abs-t3-s-p-gcd1.log,1533
log-abs-t3-s-p-gcd2.log,8377
log-abs-t3-s-p-gcd3.log,99804
log-abs-t4-c-a-gcd1.log,21246
log-abs-t4-c-a-gcd2.log,99507
log-abs-t4-c-i-gcd1.log,4876
log-abs-t4-c-i-gcd2.log,24383
log-abs-t4-c-i-gcd3.log,119477
log-abs-t4-c-n-gcd1.log,24284
log-abs-t4-c-n-gcd2.log,146079
log-abs-t4-c-p-gcd1.log,3638
log-abs-t4-c-p-gcd2.log,15409
log-abs-t4-c-p-gcd3.log,82954
log-abs-t4-s-a-gcd1.log,3212
log-abs-t4-s-a-gcd2.log,17391
log-abs-t4-s-a-gcd3.log,87915
log-abs-t4-s-i-gcd1.log,2336
log-abs-t4-s-i-gcd2.log,10531
log-abs-t4-s-i-gcd3.log,61544
log-abs-t4-s-n-gcd1.log,4814
log-abs-t4-s-n-gcd2.log,24739
log-abs-t4-s-n-gcd3.log,137564
log-abs-t4-s-p-gcd1.log,1560
log-abs-t4-s-p-gcd2.log,7371
log-abs-t4-s-p-gcd3.log,38121
log-abs-t5-c-a-gcd1.log,1007
log-abs-t5-c-a-gcd2.log,4675
log-abs-t5-c-a-gcd3.log,14874
log-abs-t5-c-i-gcd1.log,517
log-abs-t5-c-i-gcd2.log,2145
log-abs-t5-c-i-gcd3.log,7342
log-abs-t5-c-n-gcd1.log,1029
log-abs-t5-c-n-gcd2.log,4743
log-abs-t5-c-n-gcd3.log,15469
log-abs-t5-c-p-gcd1.log,495
log-abs-t5-c-p-gcd2.log,2077
log-abs-t5-c-p-gcd3.log,6747
log-abs-t5-s-a-gcd1.log,156
log-abs-t5-s-a-gcd2.log,321
log-abs-t5-s-a-gcd3.log,1105
log-abs-t5-s-i-gcd1.log,213
log-abs-t5-s-i-gcd2.log,542
log-abs-t5-s-i-gcd3.log,2273
log-abs-t5-s-n-gcd1.log,213
log-abs-t5-s-n-gcd2.log,542
log-abs-t5-s-n-gcd3.log,2273
log-abs-t5-s-p-gcd1.log,156
log-abs-t5-s-p-gcd2.log,298
log-abs-t5-s-p-gcd3.log,1082
log-con-r-c-a-gcd1.log,618922
log-con-r-c-i-gcd1.log,101868
log-con-r-c-p-gcd1.log,37790
log-con-r-s-a-gcd1.log,87406
log-con-r-s-i-gcd1.log,68978
log-con-r-s-p-gcd1.log,15206
log-con-r-s-p-gcd2.log,138886
log-con-t5-c-p-gcd1.log,244998
log-con-t5-s-p-gcd1.log,32650
log-con-t5-s-p-gcd2.log,255162
log-gcd-cb2-c-a-gcd1.log,24628
log-gcd-cb2-c-a-gcd2.log,54935
log-gcd-cb2-c-a-gcd3.log,78766
log-gcd-cb2-c-i-gcd1.log,9420
log-gcd-cb2-c-i-gcd2.log,22042
log-gcd-cb2-c-i-gcd3.log,30920
log-gcd-cb2-c-n-gcd1.log,25556
log-gcd-cb2-c-n-gcd2.log,56792
log-gcd-cb2-c-n-gcd3.log,81618
log-gcd-cb2-c-p-gcd1.log,8492
log-gcd-cb2-c-p-gcd2.log,19397
log-gcd-cb2-c-p-gcd3.log,27280
log-gcd-cb2-s-a-gcd1.log,5213
log-gcd-cb2-s-a-gcd2.log,10779
log-gcd-cb2-s-a-gcd3.log,16569
log-gcd-cb2-s-i-gcd1.log,9138
log-gcd-cb2-s-i-gcd2.log,19082
log-gcd-cb2-s-i-gcd3.log,29410
log-gcd-cb2-s-n-gcd1.log,9138
log-gcd-cb2-s-n-gcd2.log,19082
log-gcd-cb2-s-n-gcd3.log,29410
log-gcd-cb2-s-p-gcd1.log,4425
log-gcd-cb2-s-p-gcd2.log,9099
log-gcd-cb2-s-p-gcd3.log,13941
log-gcd-r-c-a-gcd1.log,1117
log-gcd-r-c-a-gcd2.log,3968
log-gcd-r-c-a-gcd3.log,6270
log-gcd-r-c-i-gcd1.log,639
log-gcd-r-c-i-gcd2.log,3732
log-gcd-r-c-i-gcd3.log,6480
log-gcd-r-c-n-gcd1.log,1596
log-gcd-r-c-n-gcd2.log,10861
log-gcd-r-c-n-gcd3.log,18445
log-gcd-r-c-p-gcd1.log,
log-gcd-r-c-p-gcd2.log,1346
log-gcd-r-c-p-gcd3.log,1997
log-gcd-r-s-a-gcd1.log,372
log-gcd-r-s-a-gcd2.log,747
log-gcd-r-s-a-gcd3.log,907
log-gcd-r-s-i-gcd1.log,618
log-gcd-r-s-i-gcd2.log,2248
log-gcd-r-s-i-gcd3.log,3572
log-gcd-r-s-n-gcd1.log,618
log-gcd-r-s-n-gcd2.log,2248
log-gcd-r-s-n-gcd3.log,3572
log-gcd-r-s-p-gcd2.log,677
log-gcd-r-s-p-gcd3.log,827
log-gcd-t1-c-p-gcd1.log,255727
log-gcd-t1-s-a-gcd1.log,188557
log-gcd-t1-s-i-gcd1.log,200619
log-gcd-t1-s-p-gcd1.log,78049
log-gcd-t2-c-a-gcd1.log,251236
log-gcd-t2-c-i-gcd1.log,88420
log-gcd-t2-c-p-gcd1.log,37864
log-gcd-t2-c-p-gcd2.log,115957
log-gcd-t2-s-a-gcd1.log,37938
log-gcd-t2-s-a-gcd2.log,207958
log-gcd-t2-s-i-gcd1.log,36844
log-gcd-t2-s-n-gcd1.log,86998
log-gcd-t2-s-p-gcd1.log,16122
log-gcd-t2-s-p-gcd2.log,83592
log-gcd-t3-c-a-gcd1.log,87480
log-gcd-t3-c-a-gcd2.log,269467
log-gcd-t3-c-i-gcd1.log,17804
log-gcd-t3-c-i-gcd2.log,174324
log-gcd-t3-c-i-gcd3.log,403469
log-gcd-t3-c-n-gcd1.log,98020
log-gcd-t3-c-p-gcd1.log,13723
log-gcd-t3-c-p-gcd2.log,45171
log-gcd-t3-c-p-gcd3.log,144208
log-gcd-t3-s-a-gcd1.log,9404
log-gcd-t3-s-a-gcd2.log,46732
log-gcd-t3-s-a-gcd3.log,240441
log-gcd-t3-s-i-gcd1.log,7631
