filename,time(ms)
log-abs-t5-c-a-gcd2.log,36088
log-abs-t5-c-a-gcd3.log,110652
log-abs-t5-c-i-gcd1.log,3072
log-abs-t5-c-i-gcd2.log,12596
log-abs-t5-c-i-gcd3.log,42072
log-abs-t5-c-n-gcd1.log,7988
log-abs-t5-c-n-gcd2.log,36744
log-abs-t5-c-n-gcd3.log,115288
log-abs-t5-c-p-gcd1.log,2936
log-abs-t5-c-p-gcd2.log,12196
log-abs-t5-c-p-gcd3.log,38708
log-abs-t5-s-a-gcd1.log,1168
log-abs-t5-s-a-gcd2.log,2228
log-abs-t5-s-a-gcd3.log,8060
log-abs-t5-s-i-gcd1.log,1252
log-abs-t5-s-i-gcd2.log,3160
log-abs-t5-s-i-gcd3.log,13084
log-abs-t5-s-n-gcd1.log,1660
log-abs-t5-s-n-gcd2.log,4200
log-abs-t5-s-n-gcd3.log,17704
log-abs-t5-s-p-gcd1.log,908
log-abs-t5-s-p-gcd2.log,1728
log-abs-t5-s-p-gcd3.log,6172
log-con-cb2-c-a-gcd1.log,-
log-con-cb2-c-a-gcd2.log,-
log-con-cb2-c-a-gcd3.log,-
log-con-cb2-c-i-gcd1.log,-
log-con-cb2-c-i-gcd2.log,-
log-con-cb2-c-i-gcd3.log,-
log-con-cb2-c-n-gcd1.log,-
log-con-cb2-c-n-gcd2.log,-
log-con-cb2-c-n-gcd3.log,-
log-con-cb2-c-p-gcd1.log,-
log-con-cb2-c-p-gcd2.log,-
log-con-cb2-c-p-gcd3.log,-
log-con-cb2-s-a-gcd1.log,-
log-con-cb2-s-a-gcd2.log,-
log-con-cb2-s-a-gcd3.log,-
log-con-cb2-s-i-gcd1.log,-
log-con-cb2-s-i-gcd2.log,-
log-con-cb2-s-i-gcd3.log,-
log-con-cb2-s-n-gcd1.log,-
log-con-cb2-s-n-gcd2.log,-
log-con-cb2-s-n-gcd3.log,-
log-con-cb2-s-p-gcd1.log,-
log-con-cb2-s-p-gcd2.log,-
log-con-cb2-s-p-gcd3.log,-
log-con-r-c-a-gcd1.log,-
log-con-r-c-a-gcd2.log,-
log-con-r-c-a-gcd3.log,-
log-con-r-c-i-gcd1.log,882056
log-con-r-c-i-gcd2.log,-
log-con-r-c-i-gcd3.log,-
log-con-r-c-n-gcd1.log,-
log-con-r-c-n-gcd2.log,-
log-con-r-c-n-gcd3.log,-
log-con-r-c-p-gcd1.log,313964
log-con-r-c-p-gcd2.log,-
log-con-r-c-p-gcd3.log,-
log-con-r-s-a-gcd1.log,1063440
log-con-r-s-a-gcd2.log,-
log-con-r-s-a-gcd3.log,-
log-con-r-s-i-gcd1.log,596236
log-con-r-s-i-gcd2.log,-
log-con-r-s-i-gcd3.log,-
log-con-r-s-n-gcd1.log,-
log-con-r-s-n-gcd2.log,-
log-con-r-s-n-gcd3.log,-
log-con-r-s-p-gcd1.log,123196
log-con-r-s-p-gcd2.log,1209912
log-con-r-s-p-gcd3.log,-
log-con-t1-c-a-gcd1.log,-
log-con-t1-c-a-gcd2.log,-
log-con-t1-c-a-gcd3.log,-
log-con-t1-c-i-gcd1.log,-
log-con-t1-c-i-gcd2.log,-
log-con-t1-c-i-gcd3.log,-
log-con-t1-c-n-gcd1.log,-
log-con-t1-c-n-gcd2.log,-
