filename,time(ms),#state
log-abs-t4-c-p-gcd2.log,117920,15409
log-abs-t4-c-p-gcd3.log,639688,82954
log-abs-t4-s-a-gcd1.log,31728,3212
log-abs-t4-s-a-gcd2.log,174796,17391
log-abs-t4-s-a-gcd3.log,885552,87915
log-abs-t4-s-i-gcd1.log,17816,2336
log-abs-t4-s-i-gcd2.log,80312,10531
log-abs-t4-s-i-gcd3.log,476820,61544
log-abs-t4-s-n-gcd1.log,49276,4814
log-abs-t4-s-n-gcd2.log,258708,24739
log-abs-t4-s-n-gcd3.log,1472680,137564
log-abs-t4-s-p-gcd1.log,11608,1560
log-abs-t4-s-p-gcd2.log,54872,7371
log-abs-t4-s-p-gcd3.log,288020,38121
log-abs-t5-c-a-gcd1.log,7796,1007
log-abs-t5-c-a-gcd2.log,36088,4675
log-abs-t5-c-a-gcd3.log,110652,14874
log-abs-t5-c-i-gcd1.log,3072,517
log-abs-t5-c-i-gcd2.log,12596,2145
log-abs-t5-c-i-gcd3.log,42072,7342
log-abs-t5-c-n-gcd1.log,7988,1029
log-abs-t5-c-n-gcd2.log,36744,4743
log-abs-t5-c-n-gcd3.log,115288,15469
log-abs-t5-c-p-gcd1.log,2936,495
log-abs-t5-c-p-gcd2.log,12196,2077
log-abs-t5-c-p-gcd3.log,38708,6747
log-abs-t5-s-a-gcd1.log,1168,156
log-abs-t5-s-a-gcd2.log,2228,321
log-abs-t5-s-a-gcd3.log,8060,1105
log-abs-t5-s-i-gcd1.log,1252,213
log-abs-t5-s-i-gcd2.log,3160,542
log-abs-t5-s-i-gcd3.log,13084,2273
log-abs-t5-s-n-gcd1.log,1660,213
log-abs-t5-s-n-gcd2.log,4200,542
log-abs-t5-s-n-gcd3.log,17704,2273
log-abs-t5-s-p-gcd1.log,908,156
log-abs-t5-s-p-gcd2.log,1728,298
log-abs-t5-s-p-gcd3.log,6172,1082
log-con-cb2-c-a-gcd1.log,-,-
log-con-cb2-c-a-gcd2.log,-,-
log-con-cb2-c-a-gcd3.log,-,-
log-con-cb2-c-i-gcd1.log,-,-
log-con-cb2-c-i-gcd2.log,-,-
log-con-cb2-c-i-gcd3.log,-,-
log-con-cb2-c-n-gcd1.log,-,-
log-con-cb2-c-n-gcd2.log,-,-
log-con-cb2-c-n-gcd3.log,-,-
log-con-cb2-c-p-gcd1.log,-,-
log-con-cb2-c-p-gcd2.log,-,-
log-con-cb2-c-p-gcd3.log,-,-
log-con-cb2-s-a-gcd1.log,-,-
log-con-cb2-s-a-gcd2.log,-,-
log-con-cb2-s-a-gcd3.log,-,-
log-con-cb2-s-i-gcd1.log,-,-
log-con-cb2-s-i-gcd2.log,-,-
log-con-cb2-s-i-gcd3.log,-,-
log-con-cb2-s-n-gcd1.log,-,-
log-con-cb2-s-n-gcd2.log,-,-
log-con-cb2-s-n-gcd3.log,-,-
log-con-cb2-s-p-gcd1.log,-,-
log-con-cb2-s-p-gcd2.log,-,-
log-con-cb2-s-p-gcd3.log,-,-
log-con-r-c-a-gcd1.log,-,618922
log-con-r-c-a-gcd2.log,-,-
log-con-r-c-a-gcd3.log,-,-
log-con-r-c-i-gcd1.log,882056,101868
log-con-r-c-i-gcd2.log,-,-
log-con-r-c-i-gcd3.log,-,-
log-con-r-c-n-gcd1.log,-,-
log-con-r-c-n-gcd2.log,-,-
log-con-r-c-n-gcd3.log,-,-
log-con-r-c-p-gcd1.log,313964,37790
log-con-r-c-p-gcd2.log,-,-
log-con-r-c-p-gcd3.log,-,-
log-con-r-s-a-gcd1.log,1063440,87406
log-con-r-s-a-gcd2.log,-,-
log-con-r-s-a-gcd3.log,-,-
log-con-r-s-i-gcd1.log,596236,68978
log-con-r-s-i-gcd2.log,-,-
log-con-r-s-i-gcd3.log,-,-
log-con-r-s-n-gcd1.log,-,-
log-con-r-s-n-gcd2.log,-,-
log-con-r-s-n-gcd3.log,-,-
log-con-r-s-p-gcd1.log,123196,15206
log-con-r-s-p-gcd2.log,1209912,138886
log-con-r-s-p-gcd3.log,-,-
log-con-t1-c-a-gcd1.log,-,-
log-con-t1-c-a-gcd2.log,-,-
log-con-t1-c-a-gcd3.log,-,-
log-con-t1-c-i-gcd1.log,-,-
log-con-t1-c-i-gcd2.log,-,-
log-con-t1-c-i-gcd3.log,-,-
log-con-t1-c-n-gcd1.log,-,-
log-con-t1-c-n-gcd2.log,-,-
log-con-t1-c-n-gcd3.log,-,-
log-con-t1-c-p-gcd1.log,-,-
log-con-t1-c-p-gcd2.log,-,-
log-con-t1-c-p-gcd3.log,-,-
log-con-t1-s-a-gcd1.log,-,-
log-con-t1-s-a-gcd2.log,-,-
log-con-t1-s-a-gcd3.log,-,-
log-con-t1-s-i-gcd1.log,-,-
log-con-t1-s-i-gcd2.log,-,-
log-con-t1-s-i-gcd3.log,-,-
log-con-t1-s-n-gcd1.log,-,-
log-con-t1-s-n-gcd2.log,-,-
log-con-t1-s-n-gcd3.log,-,-
log-con-t1-s-p-gcd1.log,-,-
log-con-t1-s-p-gcd2.log,-,-
log-con-t1-s-p-gcd3.log,-,-
log-con-t2-c-a-gcd1.log,-,-
log-con-t2-c-a-gcd2.log,-,-
log-con-t2-c-a-gcd3.log,-,-
log-con-t2-c-i-gcd1.log,-,-
log-con-t2-c-i-gcd2.log,-,-
log-con-t2-c-i-gcd3.log,-,-
log-con-t2-c-n-gcd1.log,-,-
log-con-t2-c-n-gcd2.log,-,-
log-con-t2-c-n-gcd3.log,-,-
log-con-t2-c-p-gcd1.log,-,-
log-con-t2-c-p-gcd2.log,-,-
log-con-t2-c-p-gcd3.log,-,-
log-con-t2-s-a-gcd1.log,-,-
log-con-t2-s-a-gcd2.log,-,-
log-con-t2-s-a-gcd3.log,-,-
log-con-t2-s-i-gcd1.log,-,-
log-con-t2-s-i-gcd2.log,-,-
log-con-t2-s-i-gcd3.log,-,-
log-con-t2-s-n-gcd1.log,-,-
log-con-t2-s-n-gcd2.log,-,-
log-con-t2-s-n-gcd3.log,-,-
log-con-t2-s-p-gcd1.log,-,-
log-con-t2-s-p-gcd2.log,-,-
log-con-t2-s-p-gcd3.log,-,-
log-con-t3-c-a-gcd1.log,-,-
log-con-t3-c-a-gcd2.log,-,-
log-con-t3-c-a-gcd3.log,-,-
log-con-t3-c-i-gcd1.log,-,-
log-con-t3-c-i-gcd2.log,-,-
log-con-t3-c-i-gcd3.log,-,-
log-con-t3-c-n-gcd1.log,-,-
log-con-t3-c-n-gcd2.log,-,-
log-con-t3-c-n-gcd3.log,-,-
log-con-t3-c-p-gcd1.log,-,-
log-con-t3-c-p-gcd2.log,-,-
log-con-t3-c-p-gcd3.log,-,-
log-con-t3-s-a-gcd1.log,-,-
log-con-t3-s-a-gcd2.log,-,-
log-con-t3-s-a-gcd3.log,-,-
log-con-t3-s-i-gcd1.log,-,-
log-con-t3-s-i-gcd2.log,-,-
log-con-t3-s-i-gcd3.log,-,-
log-con-t3-s-n-gcd1.log,-,-
log-con-t3-s-n-gcd2.log,-,-
log-con-t3-s-n-gcd3.log,-,-
log-con-t3-s-p-gcd1.log,-,-
log-con-t3-s-p-gcd2.log,-,-
log-con-t3-s-p-gcd3.log,-,-
log-con-t4-c-a-gcd1.log,-,-
log-con-t4-c-a-gcd2.log,-,-
log-con-t4-c-a-gcd3.log,-,-
log-con-t4-c-i-gcd1.log,-,-
log-con-t4-c-i-gcd2.log,-,-
log-con-t4-c-i-gcd3.log,-,-
log-con-t4-c-n-gcd1.log,-,-
log-con-t4-c-n-gcd2.log,-,-
log-con-t4-c-n-gcd3.log,-,-
log-con-t4-c-p-gcd1.log,-,-
log-con-t4-c-p-gcd2.log,-,-
log-con-t4-c-p-gcd3.log,-,-
log-con-t4-s-a-gcd1.log,-,-
log-con-t4-s-a-gcd2.log,-,-
log-con-t4-s-a-gcd3.log,-,-
log-con-t4-s-i-gcd1.log,-,-
log-con-t4-s-i-gcd2.log,-,-
log-con-t4-s-i-gcd3.log,-,-
log-con-t4-s-n-gcd1.log,-,-
log-con-t4-s-n-gcd2.log,-,-
log-con-t4-s-n-gcd3.log,-,-
log-con-t4-s-p-gcd1.log,-,-
log-con-t4-s-p-gcd2.log,-,-
log-con-t4-s-p-gcd3.log,-,-
log-con-t5-c-a-gcd1.log,-,-
log-con-t5-c-a-gcd2.log,-,-
log-con-t5-c-a-gcd3.log,-,-
log-con-t5-c-i-gcd1.log,3075400,-
log-con-t5-c-i-gcd2.log,-,-
log-con-t5-c-i-gcd3.log,-,-
log-con-t5-c-n-gcd1.log,-,-
log-con-t5-c-n-gcd2.log,-,-
log-con-t5-c-n-gcd3.log,-,-
log-con-t5-c-p-gcd1.log,2537608,244998
log-con-t5-c-p-gcd2.log,-,-
log-con-t5-c-p-gcd3.log,-,-
log-con-t5-s-a-gcd1.log,-,-
log-con-t5-s-a-gcd2.log,-,-
log-con-t5-s-a-gcd3.log,-,-
log-con-t5-s-i-gcd1.log,1291444,-
log-con-t5-s-i-gcd2.log,-,-
log-con-t5-s-i-gcd3.log,-,-
log-con-t5-s-n-gcd1.log,-,-
log-con-t5-s-n-gcd2.log,-,-
log-con-t5-s-n-gcd3.log,-,-
log-con-t5-s-p-gcd1.log,302844,32650
log-con-t5-s-p-gcd2.log,2911948,255162
log-con-t5-s-p-gcd3.log,-,-
log-gcd-cb2-c-a-gcd1.log,1207500,24628
log-gcd-cb2-c-a-gcd2.log,2547360,54935
log-gcd-cb2-c-a-gcd3.log,-,78766
log-gcd-cb2-c-i-gcd1.log,349512,9420
log-gcd-cb2-c-i-gcd2.log,815480,22042
log-gcd-cb2-c-i-gcd3.log,1138772,30920
log-gcd-cb2-c-n-gcd1.log,1252208,25556
log-gcd-cb2-c-n-gcd2.log,2685436,56792
log-gcd-cb2-c-n-gcd3.log,-,81618
log-gcd-cb2-c-p-gcd1.log,312292,8492
log-gcd-cb2-c-p-gcd2.log,715540,19397
log-gcd-cb2-c-p-gcd3.log,1001180,27280
log-gcd-cb2-s-a-gcd1.log,206256,5213
log-gcd-cb2-s-a-gcd2.log,424768,10779
log-gcd-cb2-s-a-gcd3.log,655368,16569
log-gcd-cb2-s-i-gcd1.log,342776,9138
log-gcd-cb2-s-i-gcd2.log,706992,19082
log-gcd-cb2-s-i-gcd3.log,1088464,29410
log-gcd-cb2-s-n-gcd1.log,456592,9138
log-gcd-cb2-s-n-gcd2.log,954952,19082
log-gcd-cb2-s-n-gcd3.log,1458220,29410
log-gcd-cb2-s-p-gcd1.log,163960,4425
log-gcd-cb2-s-p-gcd2.log,337468,9099
log-gcd-cb2-s-p-gcd3.log,515760,13941
log-gcd-r-c-a-gcd1.log,6632,1117
log-gcd-r-c-a-gcd2.log,23708,3968
log-gcd-r-c-a-gcd3.log,36320,6270
log-gcd-r-c-i-gcd1.log,3224,639
log-gcd-r-c-i-gcd2.log,17180,3732
log-gcd-r-c-i-gcd3.log,29188,6480
log-gcd-r-c-n-gcd1.log,9872,1596
log-gcd-r-c-n-gcd2.log,63972,10861
log-gcd-r-c-n-gcd3.log,108468,18445
log-gcd-r-c-p-gcd1.log,5380,-
log-gcd-r-c-p-gcd2.log,6204,1346
log-gcd-r-c-p-gcd3.log,9124,1997
log-gcd-r-s-a-gcd1.log,2076,372
log-gcd-r-s-a-gcd2.log,3948,747
log-gcd-r-s-a-gcd3.log,4816,907
log-gcd-r-s-i-gcd1.log,3108,618
log-gcd-r-s-i-gcd2.log,10880,2248
log-gcd-r-s-i-gcd3.log,17156,3572
log-gcd-r-s-n-gcd1.log,3908,618
log-gcd-r-s-n-gcd2.log,14468,2248
log-gcd-r-s-n-gcd3.log,22840,3572
log-gcd-r-s-p-gcd1.log,1800,-
log-gcd-r-s-p-gcd2.log,3220,677
log-gcd-r-s-p-gcd3.log,3900,827
log-gcd-t1-c-a-gcd1.log,-,-
log-gcd-t1-c-a-gcd2.log,-,-
log-gcd-t1-c-a-gcd3.log,-,-
log-gcd-t1-c-i-gcd1.log,9663040,-
log-gcd-t1-c-i-gcd2.log,-,-
log-gcd-t1-c-i-gcd3.log,-,-
log-gcd-t1-c-n-gcd1.log,-,-
log-gcd-t1-c-n-gcd2.log,-,-
log-gcd-t1-c-n-gcd3.log,-,-
log-gcd-t1-c-p-gcd1.log,2880212,255727
log-gcd-t1-c-p-gcd2.log,8874672,-
log-gcd-t1-c-p-gcd3.log,-,-
log-gcd-t1-s-a-gcd1.log,2627708,188557
log-gcd-t1-s-a-gcd2.log,-,-
log-gcd-t1-s-a-gcd3.log,-,-
