filename,#state
log-gcd-t3-c-a-gcd2-state.log,269467
log-gcd-t3-c-i-gcd1-state.log,17804
log-gcd-t3-c-i-gcd2-state.log,174324
log-gcd-t3-c-i-gcd3-state.log,403469
log-gcd-t3-c-n-gcd1-state.log,98020
log-gcd-t3-c-p-gcd1-state.log,13723
log-gcd-t3-c-p-gcd2-state.log,45171
log-gcd-t3-c-p-gcd3-state.log,144208
log-gcd-t3-s-a-gcd1-state.log,9404
log-gcd-t3-s-a-gcd2-state.log,46732
log-gcd-t3-s-a-gcd3-state.log,240441
log-gcd-t3-s-i-gcd1-state.log,7631
log-gcd-t3-s-i-gcd2-state.log,58700
log-gcd-t3-s-i-gcd3-state.log,230085
log-gcd-t3-s-n-gcd1-state.log,17669
log-gcd-t3-s-n-gcd2-state.log,144634
log-gcd-t3-s-p-gcd1-state.log,4086
log-gcd-t3-s-p-gcd2-state.log,19344
log-gcd-t3-s-p-gcd3-state.log,96947
log-gcd-t4-c-a-gcd1-state.log,83649
log-gcd-t4-c-a-gcd2-state.log,256644
log-gcd-t4-c-i-gcd1-state.log,14610
log-gcd-t4-c-i-gcd2-state.log,110873
log-gcd-t4-c-i-gcd3-state.log,252117
log-gcd-t4-c-n-gcd1-state.log,90900
log-gcd-t4-c-p-gcd1-state.log,11765
log-gcd-t4-c-p-gcd2-state.log,38420
log-gcd-t4-c-p-gcd3-state.log,127105
log-gcd-t4-s-a-gcd1-state.log,9020
log-gcd-t4-s-a-gcd2-state.log,41141
log-gcd-t4-s-a-gcd3-state.log,119740
log-gcd-t4-s-i-gcd1-state.log,6465
log-gcd-t4-s-i-gcd2-state.log,47116
log-gcd-t4-s-i-gcd3-state.log,123640
log-gcd-t4-s-n-gcd1-state.log,15516
log-gcd-t4-s-n-gcd2-state.log,117435
log-gcd-t4-s-n-gcd3-state.log,304550
log-gcd-t4-s-p-gcd1-state.log,3771
log-gcd-t4-s-p-gcd2-state.log,16627
log-gcd-t4-s-p-gcd3-state.log,46540
log-gcd-t5-c-a-gcd1-state.log,3254
log-gcd-t5-c-a-gcd2-state.log,11069
log-gcd-t5-c-a-gcd3-state.log,23086
log-gcd-t5-c-i-gcd1-state.log,1442
log-gcd-t5-c-i-gcd2-state.log,6176
log-gcd-t5-c-i-gcd3-state.log,11839
log-gcd-t5-c-n-gcd1-state.log,3315
log-gcd-t5-c-n-gcd2-state.log,14573
log-gcd-t5-c-n-gcd3-state.log,27231
log-gcd-t5-c-p-gcd1-state.log,1381
log-gcd-t5-c-p-gcd2-state.log,4637
log-gcd-t5-c-p-gcd3-state.log,9617
log-gcd-t5-s-a-gcd1-state.log,346
log-gcd-t5-s-a-gcd2-state.log,901
log-gcd-t5-s-a-gcd3-state.log,1644
log-gcd-t5-s-i-gcd1-state.log,510
log-gcd-t5-s-i-gcd2-state.log,1540
log-gcd-t5-s-i-gcd3-state.log,2817
log-gcd-t5-s-n-gcd1-state.log,510
log-gcd-t5-s-n-gcd2-state.log,1540
log-gcd-t5-s-n-gcd3-state.log,2817
log-gcd-t5-s-p-gcd1-state.log,346
log-gcd-t5-s-p-gcd2-state.log,809
log-gcd-t5-s-p-gcd3-state.log,1538
