Computing reachable states... 
Iteration 0... 1 sym states passed, 2 waiting 0.00200001s
Iteration 103... 98 sym states passed, 3 waiting 0.00100001s
Iteration 104... 99 sym states passed, 2 waiting 0.00200001s
Iteration 105... 100 sym states passed, 1 waiting 0.00100001s
Iteration 106... 101 sym states passed, 0 waiting 0.00200001s
Found fixpoint after 107 iterations.
Computing reachable states done after 0.243001s
Forbidden states are reachable.
Output of reachable bad states... 



















































































0.0170001s
0.32user 0.01system 0:00.34elapsed 97%CPU (0avgtext+0avgdata 16696maxresident)k
0inputs+16outputs (0major+2865minor)pagefaults 0swaps
