Computing reachable states... 
Iteration 106... 107 sym states passed, 28 waiting 0.00300001s
Iteration 107... 108 sym states passed, 28 waiting 0.00200001s
Iteration 108... 109 sym states passed, 27 waiting 0.00200001s
Iteration 109... 110 sym states passed, 28 waiting 0.00200001s
Iteration 110... 111 sym states passed, 28 waiting 0.00200001s
Iteration 111... 112 sym states passed, 27 waiting 0.00200001s
Iteration 112... 113 sym states passed, 28 waiting 0.00200001s
Iteration 113... 114 sym states passed, 28 waiting 0.00200001s
Iteration 114... 115 sym states passed, 27 waiting 0.00100001s
Iteration 115... 116 sym states passed, 26 waiting 0.00200001s
Iteration 116... 117 sym states passed, 27 waiting 0.00200001s
Iteration 117... 118 sym states passed, 27 waiting 0.00200001s
Iteration 118... 119 sym states passed, 26 waiting 0.00200001s
Iteration 119... 120 sym states passed, 27 waiting 0.00200001s
Iteration 120... 121 sym states passed, 27 waiting 0.00200001s
Iteration 121... 122 sym states passed, 26 waiting 0.00200001s
Iteration 122... 123 sym states passed, 25 waiting 0.00200001s
Iteration 123... 124 sym states passed, 26 waiting 0.00200001s
Iteration 124... 125 sym states passed, 26 waiting 0.00200001s
Iteration 125... 126 sym states passed, 25 waiting 0.00200001s
Iteration 126... 127 sym states passed, 26 waiting 0.00200001s
Iteration 127... 128 sym states passed, 26 waiting 0.00200001s
Iteration 128... 129 sym states passed, 25 waiting 0.00200001s
Iteration 129... 130 sym states passed, 24 waiting 0.00200001s
Iteration 130... 131 sym states passed, 25 waiting 0.00200001s
Iteration 131... 132 sym states passed, 25 waiting 0.00200001s
Iteration 132... 133 sym states passed, 24 waiting 0.00200001s
Iteration 133... 134 sym states passed, 25 waiting 0.00200001s
Iteration 134... 135 sym states passed, 25 waiting 0.00200001s
Iteration 135... 136 sym states passed, 24 waiting 0.00100001s
Iteration 136... 137 sym states passed, 24 waiting 0.00200001s
Iteration 137... 138 sym states passed, 24 waiting 0.00200001s
Iteration 138... 139 sym states passed, 23 waiting 0.00100001s
Iteration 139... 140 sym states passed, 23 waiting 0.00200001s
Iteration 140... 141 sym states passed, 23 waiting 0.00200001s
Iteration 141... 142 sym states passed, 22 waiting 0.00100001s
Iteration 142... 143 sym states passed, 22 waiting 0.00300001s
Iteration 143... 144 sym states passed, 22 waiting 0.00300001s
Iteration 144... 145 sym states passed, 21 waiting 0.00100001s
Iteration 145... 146 sym states passed, 21 waiting 0.00300001s
Iteration 146... 147 sym states passed, 21 waiting 0.00300001s
Iteration 147... 148 sym states passed, 20 waiting 0.00100001s
Iteration 148... 149 sym states passed, 19 waiting 0.00300001s
Iteration 149... 150 sym states passed, 19 waiting 0.00300001s
Iteration 150... 151 sym states passed, 18 waiting 0.00100001s
