Computing reachable states... 
Iteration 106... 103 sym states passed, 6 waiting 0.00400001s
Iteration 107... 104 sym states passed, 8 waiting 0.00500001s
Iteration 108... 105 sym states passed, 9 waiting 0.00400001s
Iteration 109... 106 sym states passed, 10 waiting 0.00600001s
Iteration 110... 107 sym states passed, 11 waiting 0.00500001s
Iteration 111... 108 sym states passed, 12 waiting 0.00600001s
Iteration 112... 109 sym states passed, 13 waiting 0.00500001s
Iteration 113... 110 sym states passed, 13 waiting 0.00300001s
Iteration 114... 111 sym states passed, 13 waiting 0.00300001s
Iteration 115... 112 sym states passed, 13 waiting 0.00600001s
Iteration 116... 112 sym states passed, 12 waiting 0.00700001s
Iteration 117... 113 sym states passed, 12 waiting 0.00300001s
Iteration 118... 114 sym states passed, 12 waiting 0.00400001s
Iteration 119... 115 sym states passed, 12 waiting 0.00600001s
Iteration 120... 115 sym states passed, 11 waiting 0.00800001s
Iteration 121... 116 sym states passed, 11 waiting 0.00400001s
Iteration 122... 117 sym states passed, 11 waiting 0.00400001s
Iteration 123... 118 sym states passed, 11 waiting 0.00600001s
Iteration 124... 118 sym states passed, 10 waiting 0.00800001s
Iteration 125... 119 sym states passed, 10 waiting 0.00400001s
Iteration 126... 120 sym states passed, 9 waiting 0.00200001s
Iteration 127... 121 sym states passed, 8 waiting 0.00300001s
Iteration 128... 122 sym states passed, 10 waiting 0.00500001s
Iteration 129... 123 sym states passed, 10 waiting 0.00500001s
Iteration 130... 124 sym states passed, 9 waiting 0.00300001s
Iteration 131... 125 sym states passed, 10 waiting 0.00400001s
Iteration 132... 126 sym states passed, 10 waiting 0.00500001s
Iteration 133... 127 sym states passed, 9 waiting 0.00300001s
Iteration 134... 128 sym states passed, 10 waiting 0.00400001s
Iteration 135... 129 sym states passed, 11 waiting 0.00500001s
Iteration 136... 130 sym states passed, 13 waiting 0.00600001s
Iteration 137... 131 sym states passed, 12 waiting 0.00200001s
Iteration 138... 132 sym states passed, 11 waiting 0.00200001s
Iteration 139... 133 sym states passed, 11 waiting 0.00300001s
Iteration 140... 134 sym states passed, 12 waiting 0.00500001s
Iteration 141... 135 sym states passed, 11 waiting 0.00200001s
Iteration 142... 136 sym states passed, 11 waiting 0.00300001s
